 INFO  Accepting connections at http://localhost:50882
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/uQNpWlo22.js
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/DdtanL0G2.js
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/g0gj47i5.css
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/Az_lAj5z2.js
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/B_Vv3o9c.css
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /assets/DCLj4XDt2.js
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 9 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:21:43 127.0.0.1 GET /data/reciter-profiles.json?v=2026-08-13
 HTTP  21/09/2026 11:21:43 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /logo-ui.webp
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 1 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /fonts/uthmanic-hafs-v18.woff2
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /fonts/kfgqpc-warsh-21.woff2
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /fonts/scheherazade-new-400.woff2
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /fonts/sura_names.woff2
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/BDVEqCrL.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/zl_2K1v6.css
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 3 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/Dd_uD5pT.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/DBS6dEDT.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/DlqF-Q9R.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/BtcNfqYj.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 4 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 7 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 9 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/CsAENo4O.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/DnwugcIX.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 5 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /boot-recovery.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 6 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/BQETMH0i.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/D5y38FhP.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 2 ms
 HTTP  21/09/2026 11:21:55 127.0.0.1 GET /assets/CtlOVN0x.js
 HTTP  21/09/2026 11:21:55 127.0.0.1 Returned 200 in 2 ms
